NUM,NAME,G,PA,AB,RBI,R,H,1B,2B,3B,HR,TB,SO,SB,OBP,SLG,AVG,GIDP,SAC,SF,BB,IBB,HBP,CS,GO,AO,G/F,SB%,TA,SSA,year
1,?¤ý ¬f ¿Ä,115,517,437,101,107,178,113,33,1,31,306,44,16,0.491,0.7,0.407,6,0,4,50,15,11,10,108,111,0.973,0.615,1.447,1838.32,2017
2,?³¯ ³Ç ¾Ë,114,516,437,48,113,169,127,34,5,3,222,36,17,0.466,0.508,0.387,6,3,5,53,7,9,11,148,89,1.663,0.607,1.081,908.73,2017
3,?¦¶ ¨| ½å,112,424,364,83,71,112,56,29,0,27,222,89,1,0.399,0.61,0.308,5,0,3,50,1,6,2,86,80,1.075,0.333,1.081,1484.69,2017
4,?³¯ ó` °ò,111,428,377,69,60,115,86,14,0,15,174,71,9,0.361,0.462,0.305,10,4,9,37,0,1,3,86,114,0.754,0.75,0.804,1124.04,2017
5,?©P «ä »ô,107,449,387,52,60,117,93,15,1,8,158,38,9,0.386,0.408,0.302,12,2,4,49,2,4,8,98,138,0.71,0.529,0.766,880.33,2017
6,?³¯ «T ¨q,106,417,355,78,74,114,69,26,3,16,194,78,15,0.4,0.546,0.321,14,0,9,51,1,1,2,78,94,0.83,0.882,1.019,1225.13,2017
7,?ªL ¯q ¥þ,105,444,385,71,62,136,95,23,1,17,212,50,4,0.42,0.551,0.353,15,1,8,42,7,1,1,110,97,1.134,0.8,1.004,1260.25,2017
7,?§õ ©v ½å,105,357,317,32,35,87,67,12,4,4,119,83,5,0.344,0.375,0.274,3,5,1,31,0,3,3,85,63,1.349,0.625,0.669,633.45,2017
9,?°ª °ê ¼y,102,355,323,34,39,95,72,17,0,6,130,62,1,0.355,0.402,0.294,11,0,1,24,0,7,0,92,75,1.227,1,0.678,714.12,2017
10,?°ª §µ »ö,101,361,323,45,57,95,72,14,3,6,133,56,4,0.34,0.412,0.294,15,8,5,18,0,7,4,105,72,1.458,0.5,0.656,772.12,2017
11,?ªL ªl ¨|,100,431,393,77,69,130,84,28,0,18,212,63,1,0.371,0.539,0.331,17,1,7,20,2,7,3,109,99,1.101,0.25,0.855,1287.79,2017
11,?­ð »F §Ê,100,341,308,53,34,86,64,17,4,1,114,43,7,0.329,0.37,0.279,6,4,4,23,0,2,8,94,89,1.056,0.467,0.619,678.22,2017
13,?¤ý ³Ó °¶,98,350,312,29,58,83,58,23,0,2,112,46,20,0.325,0.359,0.266,7,5,4,23,0,6,7,95,92,1.033,0.741,0.663,563.03,2017
14,?³¢ ÄY ¤å,93,396,347,48,60,112,80,24,1,7,159,49,3,0.381,0.458,0.323,7,5,7,35,0,2,1,100,93,1.075,0.75,0.819,861.77,2017
15,?­J ª÷ Às,92,387,351,71,52,113,76,23,3,11,175,49,3,0.372,0.499,0.322,8,0,5,28,2,1,2,102,92,1.109,0.6,0.843,1071.94,2017
15,?Ä¬ ´¼ ³Ç,92,404,356,77,67,125,75,31,2,17,211,72,9,0.423,0.593,0.351,6,0,2,41,1,4,5,74,87,0.851,0.643,1.099,1287.12,2017
17,?ªL ­õ Þ±,91,407,351,43,58,104,75,23,3,3,142,60,9,0.375,0.405,0.296,11,2,6,38,1,9,5,81,112,0.723,0.643,0.757,713.3,2017
17,?ªL ©Ó ­¸,91,328,291,31,33,77,47,23,1,6,120,64,4,0.33,0.412,0.265,6,4,3,27,0,3,3,70,83,0.843,0.571,0.691,659.6,2017
19,?¤è §J °¶,90,245,216,32,34,54,37,9,0,8,87,55,0,0.32,0.403,0.25,5,4,2,21,0,2,0,67,42,1.595,0,0.659,657,2017
19,?´¿ ³³ Âè,90,286,251,50,46,67,39,11,2,15,127,106,12,0.354,0.506,0.267,8,1,0,26,0,8,4,40,38,1.053,0.75,0.883,943.93,2017
21,?±i ¥¿ °¶,89,378,325,35,58,103,73,27,2,1,137,40,9,0.403,0.422,0.317,9,3,2,45,0,3,5,84,100,0.84,0.643,0.822,648.92,2017
21,?½± ´¼ ½å,89,377,349,74,55,117,71,24,1,21,206,56,3,0.379,0.59,0.335,13,0,2,19,2,5,3,105,73,1.438,0.5,0.948,1331.24,2017
23,?±i «Ø »Ê,84,286,262,25,29,76,58,13,1,4,103,50,0,0.338,0.393,0.29,7,2,2,17,1,2,0,85,52,1.635,0,0.637,598.08,2017
24,?¸â ¤l ½å,83,308,277,60,43,97,60,19,1,17,169,53,3,0.403,0.61,0.35,4,0,4,26,0,1,3,57,73,0.781,0.5,1.064,1159.18,2017
24,?°ª °ê Åï,83,312,274,45,49,78,45,22,2,9,131,56,0,0.362,0.478,0.285,11,0,3,29,0,6,0,73,71,1.028,0,0.802,820.67,2017
26,?±ç ®a ºa,82,270,239,34,31,64,42,14,2,6,100,50,0,0.336,0.418,0.268,6,2,3,24,0,2,0,69,59,1.169,0,0.696,657.78,2017
27,?¦¶ ¤¸ ¶Ô,81,294,253,39,36,70,43,17,2,8,115,69,1,0.37,0.455,0.277,6,2,1,36,0,2,3,59,56,1.054,0.25,0.802,746.68,2017
27,?´^ ¬F ¶{,81,348,298,38,43,89,75,12,0,2,107,51,6,0.385,0.359,0.299,8,0,5,40,0,5,6,75,88,0.852,0.5,0.709,635.66,2017
29,?±i §Ó »¨,80,344,310,72,63,93,49,16,4,24,189,86,11,0.363,0.61,0.3,6,0,2,26,0,6,5,46,87,0.529,0.688,1.018,1329,2017
30,?³¯ ¤l »¨,78,345,307,64,63,103,55,27,2,19,191,57,9,0.403,0.622,0.336,6,0,2,29,5,2,3,69,80,0.863,0.75,1.108,1226.5,2017
31,?ªL ´¼ ¥­,77,272,249,30,36,66,51,11,1,3,88,42,10,0.311,0.353,0.265,9,5,1,14,0,3,4,94,48,1.958,0.714,0.587,563.06,2017
32,?ªL §Ó ²»,76,318,274,34,52,75,61,6,2,6,103,53,10,0.359,0.376,0.274,6,6,1,35,0,2,3,75,72,1.042,0.769,0.721,666.72,2017
32,?ÂÅ ±G ­Û,76,304,271,51,57,87,57,14,2,14,147,46,5,0.385,0.542,0.321,4,0,3,25,0,5,3,74,67,1.104,0.625,0.953,1003.03,2017
32,?¼ï ªZ ¶¯,76,311,256,65,57,78,51,8,0,19,143,55,5,0.41,0.559,0.305,5,1,5,46,2,1,2,67,61,1.098,0.714,1.065,1152.69,2017
35,?¸â ´¼ ³ó,73,254,221,26,38,54,33,11,1,9,94,38,6,0.335,0.425,0.244,5,3,0,24,1,5,2,87,42,2.071,0.75,0.747,648.34,2017
35,?°ª §Ó ºõ,73,213,192,17,13,46,39,7,0,0,53,22,3,0.301,0.276,0.24,8,4,0,14,0,3,3,66,58,1.138,0.5,0.465,377.58,2017
37,?ªL «Â §Ê,66,243,214,33,33,60,43,9,3,5,90,48,10,0.349,0.421,0.28,0,5,1,11,0,12,3,52,55,0.945,0.769,0.783,635.37,2017
37,?§d ªF ¿Ä,66,237,209,20,27,57,43,11,0,3,77,38,7,0.338,0.368,0.273,6,6,1,13,0,8,3,61,54,1.13,0.7,0.652,509.73,2017
39,?¤_ ©s ØP,64,168,147,17,15,34,23,10,0,1,47,44,3,0.29,0.32,0.231,3,6,2,10,0,3,2,38,33,1.152,0.6,0.534,383.29,2017
40,?§E ¼w Às,61,172,154,14,31,39,32,4,1,2,51,30,5,0.308,0.331,0.253,5,3,2,11,1,1,2,52,35,1.486,0.714,0.566,414.25,2017
40,?ªL ©ô ½Ã,61,143,125,17,20,27,19,3,1,4,44,40,1,0.31,0.352,0.216,1,1,0,12,1,4,4,38,20,1.9,0.2,0.602,425,2017
42,?³¢ ªú ªL,60,200,179,34,37,53,32,10,0,11,96,50,1,0.352,0.536,0.296,2,1,3,16,0,1,2,32,47,0.681,0.333,0.877,782.09,2017
43,?³¯ ³Í ­Û,59,166,148,15,24,43,35,6,1,1,54,30,3,0.329,0.365,0.291,7,8,1,6,0,3,3,48,28,1.714,0.5,0.574,439.54,2017
43,?¶R ¹Å »ö,59,150,129,16,17,31,22,7,0,2,44,33,5,0.336,0.341,0.24,9,1,1,17,0,2,1,30,36,0.833,0.833,0.63,404.31,2017
45,?³¯ «~ ±¶,58,265,232,33,56,76,51,15,3,7,118,28,3,0.403,0.509,0.328,2,2,1,26,1,3,1,61,68,0.897,0.75,0.95,750.59,2017
46,?¶§ Ä£ ¾±,57,195,181,25,38,63,44,14,0,5,92,38,8,0.392,0.508,0.348,3,1,0,13,0,0,5,41,39,1.051,0.615,0.897,665.07,2017
46,?¶À ¶v Án,57,170,156,25,18,40,26,11,1,2,59,40,0,0.302,0.378,0.256,6,1,2,8,0,3,1,39,39,1,0,0.569,480.41,2017
48,?ªL ´¼ ³Ó,56,244,205,40,34,59,35,12,0,12,107,59,4,0.389,0.522,0.288,4,0,3,30,0,6,1,30,60,0.5,0.8,0.974,834.8,2017
49,?ªL µb ²Æ,55,95,90,4,5,19,17,2,0,0,21,21,2,0.245,0.233,0.211,4,1,0,4,0,0,1,28,22,1.273,0.667,0.355,252.11,2017
50,?ªL Þ³ ®¦,53,114,99,10,20,24,19,5,0,0,29,19,1,0.312,0.293,0.242,3,5,0,9,0,1,0,29,27,1.074,1,0.513,321.42,2017
50,?¼B ®É »¨,53,133,117,16,9,21,17,2,0,2,29,17,1,0.234,0.248,0.179,1,5,2,8,0,1,1,36,45,0.8,0.5,0.398,328.49,2017
52,?Ã¹ °ê Às,52,172,151,14,21,32,25,4,2,1,43,38,7,0.282,0.285,0.212,1,2,3,15,0,1,1,50,34,1.471,0.875,0.545,344.92,2017
53,?¶À ¯E µM,50,155,141,21,12,38,23,11,1,3,60,40,0,0.314,0.426,0.27,2,2,2,8,0,2,0,34,31,1.097,0,0.667,494.5,2017
54,?¾G ñZ ¤å,49,170,144,31,15,24,10,6,0,8,54,52,1,0.282,0.375,0.167,0,0,2,19,0,5,1,20,50,0.4,0.5,0.653,535.67,2017
55,?§d ©v ®m,48,136,119,21,17,38,26,4,1,7,65,32,0,0.404,0.546,0.319,6,0,0,13,3,1,0,32,17,1.882,0,0.943,629.33,2017
56,?·¨ ®a ºû,47,96,84,15,14,20,11,5,0,4,37,35,1,0.323,0.44,0.238,1,0,1,9,0,2,2,14,16,0.875,0.333,0.731,430.1,2017
57,?·¨ ©§ §¡,46,92,82,17,9,29,24,5,0,0,34,9,0,0.413,0.415,0.354,4,0,1,8,1,0,0,20,25,0.8,0,0.754,472.66,2017
58,?¾G ¹F ÂE,44,113,97,6,16,18,13,4,1,0,24,14,5,0.288,0.247,0.186,3,2,0,12,0,2,3,41,24,1.708,0.625,0.506,239.57,2017
59,?Ä¬ ½n ¹F,42,123,109,14,21,29,16,9,0,4,50,38,1,0.35,0.459,0.266,0,0,0,8,0,6,0,15,27,0.556,1,0.813,466.06,2017
60,?ªL ¯§ ¼Ö,40,108,99,7,11,22,16,6,0,0,28,19,0,0.267,0.283,0.222,2,3,0,5,0,1,0,28,30,0.933,0,0.43,285.22,2017
61,?³¢ ®m °¶,39,114,94,9,12,26,21,5,0,0,31,16,1,0.376,0.33,0.277,3,5,0,11,0,4,1,24,28,0.857,0.5,0.653,352.6,2017
61,?³¯ ®a ¾s,39,124,112,8,14,23,15,5,1,2,36,24,0,0.258,0.321,0.205,2,4,0,8,0,0,1,20,45,0.444,0,0.478,321.36,2017
63,?ÄY §» ¶v,38,105,85,7,17,24,20,4,0,0,28,22,0,0.378,0.329,0.282,4,7,0,13,0,0,0,25,14,1.786,0,0.631,345.35,2017
64,?³¯ ¦¿ ©M,37,61,56,4,6,13,12,1,0,0,14,9,1,0.271,0.25,0.232,2,2,0,2,0,1,0,16,18,0.889,1,0.4,266.14,2017
64,?½² ¤Í ¹F,37,94,86,5,6,14,12,1,0,1,18,26,0,0.2,0.209,0.163,4,4,0,4,0,0,0,29,17,1.706,0,0.289,225.79,2017
66,?³\ °ò §»,35,126,112,22,17,21,8,2,0,11,56,48,0,0.262,0.5,0.188,3,0,2,12,0,0,0,25,20,1.25,0,0.723,573.5,2017
66,?¥Ó µq Þ³,35,96,93,8,9,20,14,6,0,0,26,42,0,0.229,0.28,0.215,2,0,1,0,0,2,0,15,17,0.882,0,0.373,281.05,2017
68,?¸­ ¦Ë °a,34,55,43,4,6,11,10,1,0,0,12,11,3,0.418,0.279,0.256,0,0,0,11,0,1,0,10,11,0.909,1,0.844,287.81,2017
68,?¼B ªÜ »¨,34,97,88,10,10,21,15,4,1,1,30,27,1,0.302,0.341,0.239,2,1,0,8,0,0,0,19,21,0.905,1,0.565,338.64,2017
70,?¶§ «a «Â,33,84,76,10,11,19,13,4,1,1,28,22,2,0.31,0.368,0.25,3,0,1,4,0,3,0,13,23,0.565,1,0.617,348,2017
70,?³¢ ¥Ã ºû,33,95,84,5,12,20,17,3,0,0,23,14,3,0.312,0.274,0.238,3,2,0,9,0,0,2,33,17,1.941,0.6,0.507,286.1,2017
70,?¼ï Û_ µ¾,33,82,73,4,15,22,18,3,1,0,27,23,4,0.37,0.37,0.301,1,1,0,8,0,0,0,16,12,1.333,1,0.75,348.37,2017
73,?²ø Â@ ³Í,32,81,71,3,7,12,8,4,0,0,16,19,0,0.203,0.225,0.169,0,7,0,3,0,0,0,17,23,0.739,0,0.322,200.01,2017
74,?ªL ©ú ªN,27,72,68,5,5,13,9,2,1,1,20,20,0,0.222,0.294,0.191,3,0,1,3,0,0,0,20,16,1.25,0,0.397,256.18,2017
75,?¤ý «Â ±á,26,113,100,16,13,28,21,6,1,0,36,27,4,0.339,0.36,0.28,1,1,2,10,0,0,0,26,22,1.182,1,0.685,396,2017
76,?°ª °ê ½÷,25,103,93,13,9,19,9,7,0,3,35,20,0,0.272,0.376,0.204,2,0,1,9,0,0,0,18,37,0.486,0,0.579,364.3,2017
77,?Áé ©Ó ¯§,24,50,43,4,7,9,7,2,0,0,11,17,0,0.32,0.256,0.209,1,0,0,6,0,1,0,8,9,0.889,0,0.514,240.3,2017
77,?¶À ®¦ ½ç,24,46,36,2,5,4,3,1,0,0,5,9,0,0.267,0.139,0.111,2,1,1,7,0,1,2,11,13,0.846,0,0.361,126.11,2017
77,?¼ï «Û §Ê,24,59,50,5,4,7,4,1,2,0,12,17,0,0.254,0.24,0.14,1,0,1,8,0,0,0,16,11,1.455,0,0.455,177,2017
80,?³¯ ­« ¦Ð,23,53,47,5,7,14,12,2,0,0,16,16,0,0.353,0.34,0.298,1,2,0,3,0,1,0,12,6,2,0,0.588,338.87,2017
81,?½² «³ ¥È,21,35,32,2,4,5,2,3,0,0,8,9,0,0.229,0.25,0.156,3,0,0,2,0,1,0,9,9,1,0,0.367,174.25,2017
82,?³¯ ­« §Ê,20,50,43,4,7,10,6,3,0,1,16,14,1,0.298,0.372,0.233,2,3,0,2,0,2,0,14,5,2.8,1,0.6,288.56,2017
82,?±i µú º~,20,67,56,7,10,15,7,7,0,1,25,13,0,0.364,0.446,0.268,0,1,1,9,0,0,0,19,10,1.9,0,0.829,347.86,2017
84,?·¨ ©Ó Â@,18,52,46,4,4,10,7,3,0,0,13,11,0,0.288,0.283,0.217,2,0,1,5,0,0,0,12,14,0.857,0,0.474,250.39,2017
85,?±i ¶{ ³Ô,17,35,32,1,3,4,4,0,0,0,4,10,0,0.176,0.125,0.125,0,1,0,1,0,1,0,7,11,0.636,0,0.214,134,2017
85,?³¯ ¤l ÂE,17,52,47,2,5,8,4,3,0,1,14,19,1,0.25,0.298,0.17,2,0,0,4,0,1,0,13,7,1.857,1,0.488,214.21,2017
87,?¥Û µ¾ ¦t,15,24,22,4,3,2,2,0,0,0,2,6,0,0.167,0.091,0.091,0,0,0,1,0,1,0,8,6,1.333,0,0.2,112.91,2017
88,?ªL ¥ß,13,53,47,11,12,16,12,2,0,2,24,15,2,0.415,0.511,0.34,2,0,0,6,0,0,1,9,7,1.286,0.667,0.941,459.43,2017
88,?¾H §Ó °¶,13,30,27,0,1,3,3,0,0,0,3,14,0,0.2,0.111,0.111,0,0,0,2,1,0,0,5,5,1,0,0.25,114.11,2017
90,?Á§ ±© ¤¤,12,30,26,0,3,2,2,0,0,0,2,5,0,0.143,0.077,0.077,1,2,0,2,0,0,0,12,7,1.714,0,0.16,78.92,2017
91,?­S °ê ®f,11,43,38,7,5,16,13,1,0,2,23,6,1,0.488,0.605,0.421,1,0,0,4,0,1,0,11,5,2.2,1,1.261,519.05,2017
92,?ªL ¬F »õ,10,21,20,1,1,4,4,0,0,0,4,6,0,0.238,0.2,0.2,1,0,0,1,0,0,0,8,2,4,0,0.294,209,2017
92,?¤è Îë µú,10,19,16,1,0,1,1,0,0,0,1,10,0,0.167,0.063,0.062,1,1,0,2,0,0,0,2,3,0.667,0,0.188,68.5,2017
92,?§d °ê »¨,10,29,24,0,1,3,2,1,0,0,4,8,0,0.25,0.167,0.125,1,1,0,4,0,0,1,5,8,0.625,0,0.348,129,2017
95,?±i §Ó ±j,8,15,12,0,1,3,3,0,0,0,3,1,0,0.4,0.25,0.25,0,0,0,3,0,0,0,6,2,3,0,0.667,253,2017
95,?³¯ µq µM,8,15,15,1,3,2,0,2,0,0,4,5,0,0.133,0.267,0.133,0,0,0,0,0,0,0,4,4,1,0,0.308,142.33,2017
95,?¶¾ °· ®x,8,15,15,1,1,3,2,1,0,0,4,4,0,0.2,0.267,0.2,0,0,0,0,0,0,1,3,5,0.6,0,0.308,209,2017
98,?¬ö «~ §»,7,5,4,0,1,1,1,0,0,0,1,1,0,0.4,0.25,0.25,0,0,0,1,0,0,0,1,1,1,0,0.667,251,2017
98,?ªL «Â §U,7,16,15,0,1,2,2,0,0,0,2,3,0,0.188,0.133,0.133,0,0,0,1,0,0,0,5,5,1,0,0.231,135.33,2017
100,?§d ®å ºÍ,6,12,11,3,2,4,3,1,0,0,5,1,0,0.333,0.455,0.364,1,0,1,0,0,0,0,4,3,1.333,0,0.625,383.64,2017
100,?¹ù °· ´I,6,11,11,0,2,5,5,0,0,0,5,2,0,0.455,0.455,0.455,0,0,0,0,0,0,0,3,1,3,0,0.833,459.55,2017
102,?®} ¬F Ùy,5,9,9,1,1,1,1,0,0,0,1,6,0,0.111,0.111,0.111,0,0,0,0,0,0,0,0,2,0,0,0.125,117.11,2017
102,?ªL ®Ñ ¶h,5,16,12,0,2,3,2,1,0,0,4,4,0,0.438,0.333,0.25,0,0,0,4,0,0,0,4,1,4,0,0.889,254,2017
102,?±i «a §Ê,5,7,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2017
105,?¶À ´¼ °ö,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.667,0,0,0,2017
105,?§d ºÍ ³Ó,4,6,6,0,0,1,1,0,0,0,1,1,0,0.167,0.167,0.167,0,0,0,0,0,0,0,2,2,1,0,0.2,167.67,2017
107,?³¯ ¶­ ­·,3,10,10,2,2,1,1,0,0,0,1,1,0,0.1,0.1,0.1,0,0,0,0,0,0,0,5,3,1.667,0,0.111,111,2017
107,?±i ÒR ªê,3,3,2,0,0,0,0,0,0,0,0,1,0,0.333,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5,0,2017
107,?³¯ ¤å ªN,3,12,12,3,1,4,3,1,0,0,5,1,0,0.333,0.417,0.333,0,0,0,0,0,0,0,6,1,6,0,0.625,353.33,2017
110,?ªL¤ý±ÒÞ³,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
110,?¸³ ¤l ¯E,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017
112,?©¨ ªF µØ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017
